entity_id,state,last_changed
sensor.shellyem3_244cab435bf4_channel_b_power,-79.89,2024-02-18T21:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,-79.89,2024-02-18T22:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,305.96168629954445,2024-02-28T21:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,363.3081800539389,2024-02-28T22:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,162.38415021210278,2024-02-28T23:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.44898945512222,2024-02-29T00:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,128.993676212,2024-02-29T01:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,128.37993022187501,2024-02-29T02:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.70619877205554,2024-02-29T03:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,128.2123534928139,2024-02-29T04:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,164.748186077525,2024-02-29T05:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,170.18136287748612,2024-02-29T06:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,-532.689246210539,2024-02-29T07:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,-1374.6393551756362,2024-02-29T08:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,-854.5124097449639,2024-02-29T09:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,203.92592966693337,2024-02-29T10:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,262.5937377344028,2024-02-29T11:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,374.3849379692306,2024-02-29T12:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,-343.8276546822639,2024-02-29T13:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,-255.6355392895222,2024-02-29T14:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,322.2303653796695,2024-02-29T15:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,741.3077897044694,2024-02-29T16:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,147.3421873753611,2024-02-29T17:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,149.03434708569998,2024-02-29T18:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,210.02904160389997,2024-02-29T19:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,158.86170618823334,2024-02-29T20:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,205.96808959716665,2024-02-29T21:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,305.45429447251666,2024-02-29T22:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,125.96050338071944,2024-02-29T23:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,128.26770478471946,2024-03-01T00:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,128.30026862003055,2024-03-01T01:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.26074201423889,2024-03-01T02:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.92095474714166,2024-03-01T03:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,127.16783257945279,2024-03-01T04:00:00.000Z
sensor.shellyem3_244cab435bf4_channel_b_power,174.97186550069443,2024-03-01T05:00:00.000Z
